 Sat, 01 Dec 2018 11:04:21  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Sat, 01 Dec 2018 11:04:21  INFO BasePage.py wait_iframe_and_switch_to_it [ line:91 ] 等待并且换到iframe-
 Sat, 01 Dec 2018 11:04:21  INFO BasePage.py wait_eleVisibility [ line:100 ] 等待登录页面-输入用户名密码中元素可见
 Sat, 01 Dec 2018 11:04:21  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Sat, 01 Dec 2018 11:04:21  INFO BasePage.py move_IntoView [ line:110 ] 将登录页面-输入用户名密码的元素移动到可见区域
 Sat, 01 Dec 2018 11:04:21  INFO BasePage.py find_ele [ line:26 ] 查找元素_登录页面-输入用户名密码
 Sat, 01 Dec 2018 11:04:21  INFO BasePage.py input_keys [ line:51 ] 登录页面-输入用户名密码-输入文本
 Sat, 01 Dec 2018 11:04:21  INFO BasePage.py find_ele [ line:26 ] 查找元素_登录页面-输入用户名密码
 Sat, 01 Dec 2018 11:04:21  INFO BasePage.py input_keys [ line:51 ] 登录页面-输入用户名密码-输入文本
 Sat, 01 Dec 2018 11:04:21  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Sat, 01 Dec 2018 11:04:21  INFO BasePage.py move_IntoView [ line:110 ] 将登录页面-点击登录button的元素移动到可见区域
 Sat, 01 Dec 2018 11:04:21  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Sat, 01 Dec 2018 11:04:21  INFO BasePage.py click_ele [ line:61 ] 登录页面-点击登录button-点击操作
 Sat, 01 Dec 2018 11:04:21  INFO test_index.py test_check_receive_mail_list [ line:65 ] 进入首页页面，查看页面信息是否正确
 Sat, 01 Dec 2018 11:04:21  INFO BasePage.py wait_eleVisibility [ line:100 ] 等待获取当前tab的文本信息中元素可见
 Sat, 01 Dec 2018 11:04:24  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Sat, 01 Dec 2018 11:04:24  INFO BasePage.py move_IntoView [ line:110 ] 将获取当前tab的文本信息的元素移动到可见区域
 Sat, 01 Dec 2018 11:04:24  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Sat, 01 Dec 2018 11:04:24  INFO BasePage.py get_text [ line:121 ] 获取获取当前tab的文本信息文本信息
