 Thu, 06 Dec 2018 06:41:34  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Thu, 06 Dec 2018 06:41:34  INFO BasePage.py wait_iframe_and_switch_to_it [ line:91 ] 等待并且换到iframe-
 Thu, 06 Dec 2018 06:41:34  INFO BasePage.py wait_eleVisibility [ line:100 ] 等待登录页面-输入用户名密码中元素可见
 Thu, 06 Dec 2018 06:41:34  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Thu, 06 Dec 2018 06:41:34  INFO BasePage.py move_IntoView [ line:110 ] 将登录页面-输入用户名密码的元素移动到可见区域
 Thu, 06 Dec 2018 06:41:34  INFO BasePage.py find_ele [ line:26 ] 查找元素_登录页面-输入用户名密码
 Thu, 06 Dec 2018 06:41:34  INFO BasePage.py input_keys [ line:51 ] 登录页面-输入用户名密码-输入文本
 Thu, 06 Dec 2018 06:41:34  INFO BasePage.py find_ele [ line:26 ] 查找元素_登录页面-输入用户名密码
 Thu, 06 Dec 2018 06:41:34  INFO BasePage.py input_keys [ line:51 ] 登录页面-输入用户名密码-输入文本
 Thu, 06 Dec 2018 06:41:34  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Thu, 06 Dec 2018 06:41:34  INFO BasePage.py move_IntoView [ line:110 ] 将登录页面-点击登录button的元素移动到可见区域
 Thu, 06 Dec 2018 06:41:34  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Thu, 06 Dec 2018 06:41:34  INFO BasePage.py click_ele [ line:61 ] 登录页面-点击登录button-点击操作
 Thu, 06 Dec 2018 06:41:34  INFO test_commonPage.py test_quit_login [ line:16 ] 退出登录
 Thu, 06 Dec 2018 06:41:34  INFO common_page.py quit_login [ line:16 ] 退出登录
 Thu, 06 Dec 2018 06:41:34  INFO BasePage.py wait_eleVisibility [ line:100 ] 等待中元素可见
 Thu, 06 Dec 2018 06:41:37  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Thu, 06 Dec 2018 06:41:37  INFO BasePage.py click_ele [ line:61 ] 退出登录-点击操作
 Thu, 06 Dec 2018 06:41:39  INFO quitedLogin_page.py get_quiteSuccess_msg [ line:15 ] 获取退出成功信息
 Thu, 06 Dec 2018 06:41:39  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Thu, 06 Dec 2018 06:41:39  INFO BasePage.py get_text [ line:121 ] 获取获取退出成功信息文本信息
 Thu, 06 Dec 2018 06:41:39  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Thu, 06 Dec 2018 06:41:39  INFO BasePage.py wait_iframe_and_switch_to_it [ line:91 ] 等待并且换到iframe-
 Thu, 06 Dec 2018 06:41:39  INFO BasePage.py wait_eleVisibility [ line:100 ] 等待登录页面-输入用户名密码中元素可见
 Thu, 06 Dec 2018 06:41:39  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Thu, 06 Dec 2018 06:41:39  INFO BasePage.py move_IntoView [ line:110 ] 将登录页面-输入用户名密码的元素移动到可见区域
 Thu, 06 Dec 2018 06:41:39  INFO BasePage.py find_ele [ line:26 ] 查找元素_登录页面-输入用户名密码
 Thu, 06 Dec 2018 06:41:40  INFO BasePage.py input_keys [ line:51 ] 登录页面-输入用户名密码-输入文本
 Thu, 06 Dec 2018 06:41:40  INFO BasePage.py find_ele [ line:26 ] 查找元素_登录页面-输入用户名密码
 Thu, 06 Dec 2018 06:41:40  INFO BasePage.py input_keys [ line:51 ] 登录页面-输入用户名密码-输入文本
 Thu, 06 Dec 2018 06:41:40  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Thu, 06 Dec 2018 06:41:40  INFO BasePage.py move_IntoView [ line:110 ] 将登录页面-点击登录button的元素移动到可见区域
 Thu, 06 Dec 2018 06:41:40  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Thu, 06 Dec 2018 06:41:40  INFO BasePage.py click_ele [ line:61 ] 登录页面-点击登录button-点击操作
 Thu, 06 Dec 2018 06:41:40  INFO test_commonPage.py test_quit_login [ line:16 ] 退出登录
 Thu, 06 Dec 2018 06:41:40  INFO common_page.py quit_login [ line:16 ] 退出登录
 Thu, 06 Dec 2018 06:41:40  INFO BasePage.py wait_eleVisibility [ line:100 ] 等待中元素可见
 Thu, 06 Dec 2018 06:41:42  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Thu, 06 Dec 2018 06:41:42  INFO BasePage.py click_ele [ line:61 ] 退出登录-点击操作
 Thu, 06 Dec 2018 06:41:44  INFO quitedLogin_page.py get_quiteSuccess_msg [ line:15 ] 获取退出成功信息
 Thu, 06 Dec 2018 06:41:44  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Thu, 06 Dec 2018 06:41:44  INFO BasePage.py get_text [ line:121 ] 获取获取退出成功信息文本信息
 Thu, 06 Dec 2018 06:41:45  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Thu, 06 Dec 2018 06:41:45  INFO BasePage.py wait_iframe_and_switch_to_it [ line:91 ] 等待并且换到iframe-
 Thu, 06 Dec 2018 06:41:45  INFO BasePage.py wait_eleVisibility [ line:100 ] 等待登录页面-输入用户名密码中元素可见
 Thu, 06 Dec 2018 06:41:45  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Thu, 06 Dec 2018 06:41:46  INFO BasePage.py move_IntoView [ line:110 ] 将登录页面-输入用户名密码的元素移动到可见区域
 Thu, 06 Dec 2018 06:41:46  INFO BasePage.py find_ele [ line:26 ] 查找元素_登录页面-输入用户名密码
 Thu, 06 Dec 2018 06:41:46  INFO BasePage.py input_keys [ line:51 ] 登录页面-输入用户名密码-输入文本
 Thu, 06 Dec 2018 06:41:46  INFO BasePage.py find_ele [ line:26 ] 查找元素_登录页面-输入用户名密码
 Thu, 06 Dec 2018 06:41:46  INFO BasePage.py input_keys [ line:51 ] 登录页面-输入用户名密码-输入文本
 Thu, 06 Dec 2018 06:41:46  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Thu, 06 Dec 2018 06:41:46  INFO BasePage.py move_IntoView [ line:110 ] 将登录页面-点击登录button的元素移动到可见区域
 Thu, 06 Dec 2018 06:41:46  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Thu, 06 Dec 2018 06:41:46  INFO BasePage.py click_ele [ line:61 ] 登录页面-点击登录button-点击操作
 Thu, 06 Dec 2018 06:41:46  INFO common_page.py swtich_tab [ line:22 ] 切换tab
 Thu, 06 Dec 2018 06:41:50  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Thu, 06 Dec 2018 06:41:50  INFO BasePage.py wait_iframe_and_switch_to_it [ line:91 ] 等待并且换到iframe-
 Thu, 06 Dec 2018 06:41:50  INFO BasePage.py wait_eleVisibility [ line:100 ] 等待登录页面-输入用户名密码中元素可见
 Thu, 06 Dec 2018 06:41:50  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Thu, 06 Dec 2018 06:41:50  INFO BasePage.py move_IntoView [ line:110 ] 将登录页面-输入用户名密码的元素移动到可见区域
 Thu, 06 Dec 2018 06:41:50  INFO BasePage.py find_ele [ line:26 ] 查找元素_登录页面-输入用户名密码
 Thu, 06 Dec 2018 06:41:50  INFO BasePage.py input_keys [ line:51 ] 登录页面-输入用户名密码-输入文本
 Thu, 06 Dec 2018 06:41:50  INFO BasePage.py find_ele [ line:26 ] 查找元素_登录页面-输入用户名密码
 Thu, 06 Dec 2018 06:41:50  INFO BasePage.py input_keys [ line:51 ] 登录页面-输入用户名密码-输入文本
 Thu, 06 Dec 2018 06:41:50  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Thu, 06 Dec 2018 06:41:50  INFO BasePage.py move_IntoView [ line:110 ] 将登录页面-点击登录button的元素移动到可见区域
 Thu, 06 Dec 2018 06:41:50  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Thu, 06 Dec 2018 06:41:50  INFO BasePage.py click_ele [ line:61 ] 登录页面-点击登录button-点击操作
 Thu, 06 Dec 2018 06:41:50  INFO common_page.py swtich_tab [ line:22 ] 切换tab
